Probe_ID	Normal1	Normal2	Normal3	Normal4	Normal5	Normal6	Normal7	Normal8	Normal9	Normal10	Normal11	Normal12	Normal13	Normal14	Normal15	Normal16	Normal17	Normal18	Normal19	Normal20	Tumor1	Tumor2	Tumor3	Tumor4	Tumor5	Tumor6	Tumor7	Tumor8	Tumor9	Tumor10	Tumor11	Tumor12	Tumor13	Tumor14	Tumor15	Tumor16	Tumor17	Tumor18	Tumor19	Tumor20	Tumor21	Tumor22	Tumor23	Tumor24	Tumor25	Tumor26	Tumor27	Tumor28	Tumor29	Tumor30
Marker32	0.054120742	0.03519761	0.023436819	0.045769341	0.032691486	0.032114624	0.055677473	0.029035767	0.033936568	0.035308673	0.026985562	0.032492073	0.040603856	0.03984284	0.038766127	0.046967011	0.024457068	0.030251723	0.040232498	0.028642481	0.520669781	0.796728132	0.060678606	0.252297963	0.042653013	0.374285002	0.027556055	0.363892351	0.355380974	0.549188522	0.339384396	0.322442592	0.511212522	0.032839716	0.117515176	0.027161406	0.425982331	0.495410087	0.152479765	0.222294811	0.272401622	0.458719863	0.197034347	0.48405103	0.311768568	0.580576637	0.043513795	0.277241133	0.032112686	0.536488703
Marker33	0.042371259	0.041109801	0.050050326	0.046911141	0.046517136	0.035213256	0.048227786	0.051139831	0.050522988	0.046947781	0.044257894	0.043658775	0.042832966	0.041375232	0.042025386	0.043528384	0.036950174	0.042958808	0.043879806	0.036429211	0.674008047	0.716387317	0.039046386	0.092848797	0.057085808	0.317817171	0.195628764	0.264422707	0.084105384	0.060220802	0.144469428	0.098526869	0.064053655	0.114435939	0.058245983	0.032379909	0.13345523	0.266222491	0.056690342	0.134029593	0.111521708	0.486608328	0.205092583	0.486085436	0.048828958	0.319345575	0.058951394	0.057643097	0.119949668	0.367326422
Marker34	0.032922289	0.036594503	0.022648936	0.031502681	0.026661528	0.022593376	0.03149836	0.027194444	0.023988824	0.029393767	0.02404465	0.024704837	0.021087932	0.021953507	0.026425918	0.023700027	0.025912432	0.023397376	0.02968296	0.021979097	0.728273762	0.533386239	0.02674207	0.367146142	0.524594498	0.231284334	0.027224259	0.610758021	0.370207426	0.052956645	0.075337075	0.028960844	0.022046266	0.027377875	0.04794611	0.021187182	0.185031777	0.427069038	0.056081902	0.022687021	0.197510551	0.234447194	0.223950233	0.020085407	0.05429707	0.033879624	0.027110901	0.030948864	0.052936858	0.055564789
Marker35	0.011994706	0.021890387	0.012671308	0.021237123	0.015268698	0.011099213	0.014007697	0.012982793	0.013727785	0.013866469	0.016166435	0.011421234	0.014212139	0.015066392	0.011942156	0.013057938	0.014019236	0.011939182	0.018308814	0.015229907	0.382565272	0.516140101	0.015641579	0.381974098	0.321354221	0.18657129	0.487283083	0.12865777	0.405869442	0.322504456	0.238058511	0.097551273	0.234546521	0.361603704	0.02458167	0.011614789	0.316606552	0.179624042	0.055768957	0.049709238	0.339702291	0.44803837	0.020407002	0.475207718	0.026612536	0.214530531	0.024013229	0.023404383	0.022383549	0.350864231
Marker36	0.03598851	0.037320975	0.038783399	0.048191249	0.037124758	0.03543211	0.040472089	0.031586738	0.037324542	0.047914942	0.047045081	0.042620623	0.050471138	0.058683493	0.036426283	0.04839238	0.046470873	0.038885974	0.060243031	0.04184075	0.582445525	0.452218301	0.075629331	0.515947395	0.638148565	0.287855565	0.402771675	0.375334209	0.382514091	0.33786895	0.41710934	0.298980074	0.42231691	0.097285155	0.1640495	0.073247883	0.544105089	0.212160071	0.145682422	0.100935176	0.353336953	0.401801934	0.318729606	0.031835688	0.034105016	0.331011694	0.069429659	0.131723445	0.067035033	0.342534361
Marker37	0.016180924	0.034651594	0.021497715	0.037399829	0.032972309	0.021190605	0.025839573	0.029762473	0.055684289	0.047630413	0.026076995	0.094117628	0.03267998	0.028208824	0.018542261	0.033489966	0.026273581	0.061206745	0.063691635	0.032497949	0.535192254	0.698945762	0.092419788	0.286703427	0.542988767	0.266010756	0.438781775	0.190718061	0.284352359	0.245398112	0.319682285	0.183199712	0.312328846	0.128601955	0.259018319	0.066373872	0.340754598	0.341462254	0.092946765	0.028051098	0.298724725	0.416109646	0.315346233	0.438554802	0.327343202	0.282275017	0.110172639	0.272106055	0.277706076	0.428081887
Marker38	0.023119363	0.033959368	0.031220508	0.089554128	0.025299504	0.030615216	0.032378267	0.028852894	0.02697691	0.03553637	0.026234498	0.033608011	0.029017926	0.024669284	0.031526761	0.033184545	0.024524473	0.026614278	0.039048018	0.030734354	0.797496674	0.119924536	0.136535135	0.886229245	0.830332676	0.288574021	0.72946953	0.715426136	0.55221519	0.632689684	0.278682016	0.529799897	0.555457374	0.424512913	0.396503586	0.146921518	0.584343088	0.518943422	0.107222736	0.751209829	0.65678254	0.067331665	0.510582808	0.736572576	0.394050017	0.757509154	0.110565464	0.33656549	0.601376082	0.711666469
Marker39	0.017980431	0.01771534	0.01446908	0.059515131	0.014141988	0.014626252	0.015510162	0.018945863	0.017338563	0.025620594	0.015630953	0.018575262	0.01772434	0.046946645	0.023417937	0.017481092	0.014251838	0.013723653	0.130760747	0.017608239	0.187784682	0.020002779	0.05745771	0.01772438	0.023631991	0.282755619	0.019325245	0.067578185	0.306692357	0.397207934	0.017256244	0.503431136	0.418422325	0.028973134	0.344936237	0.012781834	0.542016026	0.644226169	0.37206222	0.504783849	0.212966599	0.43029378	0.10517753	0.613048319	0.194413873	0.553323149	0.030578171	0.342561547	0.433123354	0.620685921
Marker40	0.030030282	0.016888434	0.01856873	0.05872691	0.016069348	0.016675469	0.035488806	0.019273314	0.020757366	0.016650541	0.017513781	0.017868684	0.014191398	0.018849097	0.014280872	0.019523829	0.01734514	0.017884292	0.018560988	0.014636506	0.536339418	0.019485231	0.017802101	0.066057977	0.285550707	0.405752745	0.210118124	0.105283588	0.122850896	0.091665894	0.141116411	0.352289774	0.447960359	0.09389027	0.085512225	0.014265584	0.086771536	0.332233172	0.171374952	0.028842497	0.231902349	0.406305675	0.09975926	0.01848874	0.022309784	0.063422103	0.025263438	0.21926891	0.019923657	0.501504298
Marker41	0.022355503	0.022459544	0.021840858	0.07396214	0.026534373	0.021124956	0.028180417	0.016869242	0.029908861	0.03497937	0.023642328	0.018948144	0.020445081	0.074383669	0.041839927	0.020175548	0.020591387	0.016065692	0.070768382	0.023952781	0.49228354	0.019995631	0.110388161	0.612213528	0.621410981	0.025056335	0.58959637	0.193613749	0.477640394	0.519985856	0.430941609	0.382056711	0.373374501	0.434160482	0.110923719	0.108219197	0.367666269	0.176058516	0.026570267	0.158992053	0.471573862	0.039796599	0.136927085	0.454476626	0.277149235	0.336016687	0.043531754	0.359514237	0.108773726	0.436881033
